Namespace;Class name;Attribute name;Designation;Definition;Multiplicity;Type;Origin;Original code
Parking;Access;accessType;Access type;Provides characterisation of the nature of this access area.;1..1;EAID_25F089C0_4AE4_4982_8EE7_A3CDD96E043F;;
Parking;Access;equipment;Equipment;Specifies additional equipment for this access.;0..*;EAID_502C51C6_F62E_4db9_9606_2FF8DF832AA2;;
Parking;Access;orientation;Orientation;The compass direction of the access in relation to the parking site, e.g. the northern entrance.;0..*;EAID_CD625834_2DCB_4b5d_9917_70F3C3C59F6A;;
Parking;AccessAndEgress;exitPossibleAtAnyTime;Exit possible at any time;If [TRUE], specifies that the specified access is available for exit at all times.;0..1;EAID_009D010E_BE3D_49c1_86D8_34478683971E;;
Parking;AccessJunction;distance;Distance;Distance to this access junction.;0..1;EAID_16453DDC_C636_432b_A57A_B792035AD9C9;;
Parking;AccessLaneSpecific;laneType;Lane type;Provides characterisation of the nature of the access lane (e.g. entry lane, exit lane, reversible lane).;1..1;EAID_3C1FBEEA_3335_45cd_B990_560E97738212;;
Parking;AccessLaneSpecific;sequenceNumber;Sequence number;Defines a unique sequence number for this specific lane within the IdentifiedArea. No specific method of numbering is defined. Preferred practice numbers lanes from right to left as seen in-bound into the parking facility.;1..1;EAID_FBC8547A_BFDA_44df_B881_4F6BF8DA58EF;;
Parking;AccessRoad;distance;Distance;Distance to this access road.;0..1;EAID_16453DDC_C636_432b_A57A_B792035AD9C9;;
Parking;PedestrianAccess;numberOfPortals;Number of portals;Indicates the number of door portals present at the pedestrian access area.;0..1;EAID_FBC8547A_BFDA_44df_B881_4F6BF8DA58EF;;
Parking;PedestrianAccess;style;Style;Provides information concerning the style of the pedestrian access.;0..1;EAID_2BBE64C1_9A63_4f72_9CC3_3A678F661927;;
Parking;VehicularAccess;rentalCarReturn;Rental car return;Rental cars can be returned at this access.;0..1;EAID_009D010E_BE3D_49c1_86D8_34478683971E;;
Parking;VehicularAccess;usableForPedestrian;Usable for pedestrian;Indicates, whether pedestrian can use this access. This attribute can be used if no specific PedestrianAccess will be specified.;0..1;EAID_009D010E_BE3D_49c1_86D8_34478683971E;;
Situation;Accident;accidentCause;Accident cause;A descriptor indicating the most significant factor causing an accident.;0..1;EAID_EF4FE8B8_EC20_4519_A696_26CBCA55E099;;
Situation;Accident;accidentType;Accident type;A characterization of the nature of the accident.;1..*;EAID_D13BE3BE_AF8F_4965_9124_6A2EAA72E49C;;
Situation;Accident;collisionType;Collision type;Identifies a type of collision;0..1;EAID_239B367D_425F_46d5_82E9_D6B8C48DB163;;
Situation;Accident;totalNumberOfPeopleInvolved;Total number of people involved;The total number of people that are involved.;0..1;EAID_FBC8547A_BFDA_44df_B881_4F6BF8DA58EF;;
Situation;Accident;totalNumberOfVehiclesInvolved;Total number of vehicles involved;The total number of vehicles that are involved.;0..1;EAID_FBC8547A_BFDA_44df_B881_4F6BF8DA58EF;;
Situation;AuthorityOperation;authorityOperationType;Authority operation type;Type of authority initiated operation or activity that could disrupt traffic. ;1..1;EAID_3B6AB3C6_04BE_4897_B186_FE7A235C004F;;
Situation;DisturbanceActivity;disturbanceActivityType;Disturbance activity type;Includes all situations of a public disorder type or of an alert type, with potential to disrupt traffic.;1..1;EAID_997A4339_FD4A_4e5a_8307_2E5F6BF17FE4;;
Situation;PublicEvent;publicEventType;Public event type;Type of public event which could disrupt traffic.;1..1;EAID_518C29AF_2350_4697_8AEC_A71E58DFB604;;
Situation;PublicEvent;venueName;Venue name;Name of the venue at which the public event is being held;0..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
LocationReferencing;AlertCDirection;alertCAffectedDirection;ALERT-C affected direction;The direction(s) of traffic flow to which the situation, traffic data or information is related.;1..1;EAID_3855110B_58FC_4abc_B24D_F8E0A01CE1DB;;
LocationReferencing;AlertCDirection;alertCDirectionCoded;ALERT-C direction coded;Direction of navigation with respect to secondary to primary location (RDS direction);1..1;EAID_5A62C6CA_28AA_4848_AFF3_992315B92E7D;;
LocationReferencing;AlertCDirection;alertCDirectionNamed;ALERT-C direction named;ALERT-C name of a direction e.g. Brussels -> Lille.;0..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
LocationReferencing;AlertCLinear;alertCLocationCountryCode;ALERT-C location country code;ALERT-C country code as defined in IEC 62106.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;AlertCLinear;alertCLocationTableNumber;ALERT-C location table number;Number allocated to an ALERT-C table in a country. Ref. EN ISO 14819-3 for the allocation of a location table number.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;AlertCLinear;alertCLocationTableVersion;ALERT-C location table version;Version number associated with an ALERT-C table reference.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;AlertCLocation;alertCLocationName;ALERT-C location name;Name of ALERT-C location.;0..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
LocationReferencing;AlertCLocation;specificLocation;Specific location;Unique code within the ALERT-C location table which identifies the specific point, linear or area location.;1..1;EAID_22779E6E_6805_4e1f_8F2D_629E770D8C18;;
LocationReferencing;AlertCPoint;alertCLocationCountryCode;ALERT-C location country code;ALERT-C country code as defined IEC 62106.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;AlertCPoint;alertCLocationTableNumber;ALERT-C location table number;Number allocated to an ALERT-C table in a country. Ref. EN ISO 14819-3 for the allocation of a location table number.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;AlertCPoint;alertCLocationTableVersion;ALERT-C location table version;Version number associated with an ALERT-C table reference.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;AlertCArea;alertCLocationCountryCode;ALERT-C location country code;ALERT-C country code as defined in IEC 62106.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;AlertCArea;alertCLocationTableNumber;ALERT-C location table number;Number allocated to an ALERT-C table in a country. Ref. EN ISO 14819-3 for the allocation of a location table number.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;AlertCArea;alertCLocationTableVersion;ALERT-C location table version;Version number associated with an ALERT-C table reference.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
Parking;Assignment;maximumParkingDuration;Maximum parking duration;The maximum parking duration for this assignment (e.g. to avoid overnight parking).;0..1;EAID_60B31F7C_803F_4351_A52B_B9E11C22B6E6;;
Parking;Assignment;minimumParkingDuration;Minimum parking duration;The minimum parking duration for this assignment.;0..1;EAID_60B31F7C_803F_4351_A52B_B9E11C22B6E6;;
Parking;Assignment;parkingAllowed;Parking allowed;Defines, if parking is allowed or not in this assignment.;0..1;EAID_009D010E_BE3D_49c1_86D8_34478683971E;;
Parking;Assignment;reservation;Reservation;Indication of whether a parking reservation service is available and/or mandatory.;0..1;EAID_15419AE6_506B_4b00_B5F6_2E292487E5B0;;
RoadTrafficData;MeasurementOrCalculationTime;timeMeaning;Time meaning;Meaning of associated time value;0..1;EAID_B684B960_4E95_48d7_9084_1169CD665234;;
RoadTrafficData;MeasurementOrCalculationTime;timePrecision;Time precision;The precision to which the time of measurement or calculation is given.;0..1;EAID_B9C17DA0_AE00_4505_9AA0_04256833E2CD;;
RoadTrafficData;MeasurementOrCalculationTime;timeValue;Time value;Point in time at which this specific value or set of values has been measured or calculated. It may also be a future time at which a data value is predicted.  It may be the time of the beginning, the end or the middle of a measurement period.;0..1;EAID_B3DA3E42_F3EC_426b_BE80_37FF4BCB6CBA;;
RoadTrafficData;AxleCharacteristics;maximumWeight;Maximum weight;Maximum axle weight;0..1;EAID_18215DD2_0F5E_4c31_976A_BA16FF6F8CBE;;
RoadTrafficData;AxleCharacteristics;minimumWeight;Minimum weight;Minimum axle weight;0..1;EAID_18215DD2_0F5E_4c31_976A_BA16FF6F8CBE;;
Situation;Cause;causeDescription;Cause description;Description of a cause which is not managed by the publication creator (e.g. an off network cause).;0..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
Situation;Cause;causeType;Cause type;Indicates an external influence that may be the causation of components of a situation.;0..1;EAID_C3B6B88D_E3D6_4701_A822_4D437EDEF0A9;;
Situation;Comment;comment;Comment;A free text comment that can be used by the operator to convey un-coded observations/information.;1..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
Situation;Comment;commentDateTime;Comment date time;The date/time at which the comment was made.;0..1;EAID_B3DA3E42_F3EC_426b_BE80_37FF4BCB6CBA;;
Situation;Comment;commentType;Comment type;A classification of the the type of comment.;0..1;EAID_C00DE0D2_A386_41bb_A307_9DAD672E78AB;;
EnergyInfrastructure;Connector;chargingMode;Charging mode;Available charging modes;0..1;EAID_78F60CDD_4EAD_4979_81DC_43BC565B5496;;
EnergyInfrastructure;Connector;connectorFormat;Connector format;Information on the cable type used.;0..1;EAID_2E791AC9_F3B9_459f_9CE5_A35898E7694B;;
EnergyInfrastructure;Connector;connectorType;Connector type;Specification of the connector, i.e. the charging interface type;1..1;EAID_42F80F68_C2B5_4e33_9A70_95D6EB99659E;;
EnergyInfrastructure;Connector;countryOfDomesticSocket;Country of domestic socket;Countries for which the domestic socket is applicable. Only needed if explicit type of a domestic socket is not specified.;0..*;EAID_31321824_B48F_4b14_8739_481ABEA68F95;;
EnergyInfrastructure;Connector;maximumCurrent;Maximum current;Maximum current in Ampere;0..1;EAID_9CC6CF2F_E428_45f7_AE42_86A6857358A6;;
EnergyInfrastructure;Connector;maxPowerAtSocket;Max power at socket;Maximum power at the socket in Watts;1..1;EAID_AE35E0EC_324B_4bf7_B96B_102F5C136E79;;
EnergyInfrastructure;Connector;otherConnector;Other connector;Some other connector / charging interface;0..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
EnergyInfrastructure;Connector;voltage;Voltage;Possible degrees of voltage.;0..1;EAID_4F4270B2_132D_4fd4_B0F6_88A611CD8880;;
Situation;DetailedCauseType;abnormalTrafficType;Abnormal traffic type;A characterization of the nature of abnormal traffic flow, i.e. specifically relating to the nature of the traffic movement.;0..1;EAID_5171B7C7_4F55_4526_B4C2_F173BF203431;;
Situation;DetailedCauseType;accidentType;Accident type;A characterization of the nature of the accident.;0..*;EAID_D13BE3BE_AF8F_4965_9124_6A2EAA72E49C;;
Situation;DetailedCauseType;animalPresenceType;Animal presence type;Indicates the nature of animals present on or near the roadway.;0..1;EAID_85585791_5FA9_4866_9E6B_0241DC4F8D86;;
Situation;DetailedCauseType;authorityOperationType;Authority operation type;Type of authority initiated operation or activity that could disrupt traffic. ;0..1;EAID_3B6AB3C6_04BE_4897_B186_FE7A235C004F;;
Situation;DetailedCauseType;constructionWorkType;Construction work type;The type of construction work being performed.;0..1;EAID_9D6F08AF_E84C_4ea2_B541_A2F0FA565FD4;;
Situation;DetailedCauseType;disturbanceActivityType;Disturbance activity type;Includes all situations of a public disorder type or of an alert type, with potential to disrupt traffic.;0..1;EAID_997A4339_FD4A_4e5a_8307_2E5F6BF17FE4;;
Situation;DetailedCauseType;drivingConditionType;Driving condition type;Description of the driving conditions at the specified location.;0..1;EAID_FA2F93D5_4CAB_4ea8_8473_8B2493935309;;
Situation;DetailedCauseType;environmentalObstructionType;Environmental obstruction type;Characterization of an obstruction on the road resulting from an environmental cause.;0..1;EAID_1383A063_FBEE_4ba5_9408_C2E30134F4BE;;
Situation;DetailedCauseType;equipmentOrSystemFaultType;Equipment or system fault type;Failure, malfunction or non operational condition of equipment or system.;0..1;EAID_DE4E0BE5_6E80_4cf8_A0F4_BEF93A05BDD0;;
Situation;DetailedCauseType;generalInstructionToRoadUsersType;General instruction to road users type;General instruction that is issued by the network/road operator which is applicable to drivers and sometimes passengers.;0..1;EAID_190234CA_6BF4_4c6f_BF65_AB4550B5A884;;
Situation;DetailedCauseType;generalNetworkManagementType;General network management type;The type of traffic management action instigated by the network/road operator.;0..1;EAID_C077F57A_C187_4550_AA1C_1E44BEA12828;;
Situation;DetailedCauseType;infrastructureDamageType;Infrastructure damage type;Characterization of an obstruction on the road resulting from the failure or damage of infrastructure on, under, above or close to the road.;0..1;EAID_CB4CE3F6_900F_4724_A212_3B072403A478;;
Situation;DetailedCauseType;nonWeatherRelatedRoadConditionType;Non weather related road condition type;The type of road conditions which are not related to the weather.;0..*;EAID_FD58E3E5_77F1_4bff_916E_E4EB1292F00D;;
Situation;DetailedCauseType;obstructionType;Obstruction type;Characterization of the type of general obstruction.;0..*;EAID_C2919DE7_121B_4857_B5C0_1707823BB4C7;;
Situation;DetailedCauseType;poorEnvironmentType;Poor environment type;The type of environment condition which is affecting driving conditions.;0..*;EAID_E1FE98BB_2680_422d_BD36_532AB800036C;;
Situation;DetailedCauseType;publicEventType;Public event type;Type of public event which could disrupt traffic.;0..1;EAID_518C29AF_2350_4697_8AEC_A71E58DFB604;;
