Namespace;Package nam;Class name;Designation;Definition;Stereotype;Abstract
Parking;Access;Access;Access;An identified area defining a vehicular or a pedestrian access area.;;Yes
Parking;Access;AccessAndEgress;Access and egress;Time periods specified for access to or from a parking facility.;;No
Parking;Access;AccessJunction;Access junction;An access junction with its distance.;;No
Parking;Access;AccessLaneSpecific;Access lane specific;Defines the sequence and nature of a specific entrance or exit lane.;;No
Parking;Access;AccessRoad;Access road;An access road with its distance.;;No
Parking;Access;PedestrianAccess;Pedestrian access;A specialisation of an identifiedArea defining a pedestrian access area.;;No
Parking;Access;VehicularAccess;Vehicular access;A specialisation of an identified area defining a vehicular access area.;;No
Situation;Accident;Accident;Accident;Accidents are events where one or more vehicles are involved in collisions or in leaving the roadway. These include collisions between vehicles or with other road users or obstacles.;;No
Situation;Activity;Activity;Activity;Deliberate human action external to the traffic stream or roadway which could disrupt traffic.;;Yes
Situation;Activity;AuthorityOperation;Authority operation;Authority initiated operation or activity that could disrupt traffic.;;No
Situation;Activity;DisturbanceActivity;Disturbance activity;Deliberate human action of either a public disorder nature or of a situation alert type which could disrupt traffic.;;No
Situation;Activity;PublicEvent;Public event;Organised public event which could disrupt traffic.;;No
LocationReferencing;AlertC;AlertCDirection;ALERT-C direction;The direction of traffic flow along the road to which the information relates.;;No
LocationReferencing;AlertC;AlertCLinear;ALERT-C linear;A linear section along a road defined between two points on the road by reference to a pre-defined ALERT-C location table.;;Yes
LocationReferencing;AlertC;AlertCLocation;ALERT-C location;Identification of a specific point, linear or area location in an ALERT-C location table.;;No
LocationReferencing;AlertC;AlertCMethod2PrimaryPointLocation;ALERT-C method 2 primary point location;The point (called Primary point) which is either a single point or at the downstream end of a linear road section. The point is specified by a reference to a point in a pre-defined ALERT-C location table.;;No
LocationReferencing;AlertC;AlertCMethod2SecondaryPointLocation;ALERT-C method 2 secondary point location;The point (called Secondary point) which is at the upstream end of a linear road section. The point is specified by a reference to a point in a pre-defined ALERT-C location table.;;No
LocationReferencing;AlertC;AlertCMethod4PrimaryPointLocation;ALERT-C method 4 primary point location;The point (called Primary point) which is either a single point or at the downstream end of a linear road section. The point is specified by a reference to a point in a pre-defined ALERT-C location table plus a non-negative offset distance.;;No
LocationReferencing;AlertC;AlertCMethod4SecondaryPointLocation;ALERT-C method 4 secondary point location;The point (called Secondary point) which is at the upstream end of a linear road section. The point is specified by a reference to a point in a pre-defined Alert-C location table plus a non-negative offset distance.;;No
LocationReferencing;AlertC;AlertCPoint;ALERT-C point;A single point on the road network defined by reference to a pre-defined ALERT-C location table and which has an associated direction of traffic flow.;;Yes
LocationReferencing;AlertCArea;AlertCArea;ALERT-C area;An area defined by reference to a predefined ALERT-C location table.;;No
LocationReferencing;AlertCLinearByCode;AlertCLinearByCode;ALERT-C linear by code;A linear section along a road defined by reference to a linear section in a pre-defined ALERT-C location table.;;No
LocationReferencing;AlertCMethod2Linear;AlertCMethod2Linear;ALERT-C method 2 linear;A linear section along a road between two points, primary and secondary, which are pre-defined in an ALERT-C location table. Direction is FROM the secondary point TO the primary point, i.e. the primary point is downstream of the secondary point.;;No
LocationReferencing;AlertCMethod2Point;AlertCMethod2Point;ALERT-C method 2 point;A single point on the road network defined by reference to a point in a pre-defined ALERT-C location table and which has an associated direction of traffic flow.;;No
LocationReferencing;AlertCMethod4Linear;AlertCMethod4Linear;ALERT-C method 4 linear;A linear section along a road between two points, primary and secondary, which are pre-defined ALERT-C locations plus offset distance. Direction is FROM the secondary point TO the primary point, i.e. the primary point is downstream of the secondary point.;;No
LocationReferencing;AlertCMethod4Point;AlertCMethod4Point;ALERT-C method 4 point;A single point on the road network defined by reference to a point in a pre-defined ALERT-C location table plus an offset distance and which has an associated direction of traffic flow.;;No
Parking;Assignment;Assignment;Assignment;An assignment for parking, optionally limited to a validity in time.;;No
RoadTrafficData;BasicData;BasicData;Basic data;Data that are either measured or calculated at the same time or over the same time period.;;Yes
RoadTrafficData;BasicData;MeasurementOrCalculationTime;Measurement or calculation time;Describes the time at which a measured or calculated value or set of values was measured or calculated. It may be a future time at which a data value is predicted to apply.;;No
RoadTrafficData;Classes;AxleCharacteristics;Axle characteristics;Characteristics of vehicle axles;;No
Situation;Classes;Cause;Cause;Contains details of the cause of a record within a situation;;No
Situation;Classes;Comment;Comment;A free text comment with an optional date/time stamp that can be used by the operator to convey un-coded observations/information.;;No
EnergyInfrastructure;Classes;Connector;Connector;Parameters and description of an interface that is available at the given electric charging point to connect vehicles;;No
Situation;Classes;DetailedCauseType;Detailed cause type;The type of influence that may be the cause of components of a situation. At least one attribute must be populated.;;No
EnergyInfrastructure;Classes;DieselRefillPoint;Diesel refill point;A refill point for diesel;;No
EnergyInfrastructure;Classes;ElectricChargingPoint;Electric charging point;Technical infrastructure at a specific location that facilitates electric charging of one vehicle at a time;;No
EnergyInfrastructure;Classes;ElectricChargingPointStatus;Electric charging point status;Dynamic information on the status of the charging point.;;No
EnergyInfrastructure;Classes;ElectricEnergyMix;Electric energy mix;The energy mix and environmental impact of the supplied energy available at this charging point.;;No
EnergyInfrastructure;Classes;ElectricEnergySourceRatio;Electric energy source ratio;Ratio for the specified energy source;;No
EnergyInfrastructure;Classes;EnergyInfrastructureSite;Energy infrastructure site;A site where vehicles can be supplied with energy, including all buildings, stations, parking spaces and other associated services.;;No
EnergyInfrastructure;Classes;EnergyInfrastructureSiteStatus;Energy infrastructure site status;Dynamic information on the status of the energy supplying site;;No
EnergyInfrastructure;Classes;EnergyInfrastructureStation;Energy infrastructure station;A collection of associated refill points (which can be of different type). An example would be a fuel dispenser that serves different types of fuel. Often the vehicle space of the station is shared between the different refill points.;;No
EnergyInfrastructure;Classes;EnergyInfrastructureStationStatus;Energy infrastructure station status;Dynamic information on the status of the station.;;No
EnergyInfrastructure;Classes;EnergyInfrastructureTable;Energy infrastructure table;A table of sites where vehicles can be supplied with energy.;;No
EnergyInfrastructure;Classes;EnergyPricingPolicy;Energy pricing policy;Details how the price for the charging process is calculated.;;No
Common;Classes;GenericPublication;Generic publication;A publication used to make level B extensions at the publication level.;;No
Situation;Classes;GenericSituationRecord;Generic situation record;A generic SituationRecord for use when adding level B extensions at the SituationRecord level.;;No
Common;Classes;GlobalReference;Global reference;A versioned reference to an object that may be in another publication from another publisher.;;Yes
Situation;Classes;GroupOfPeopleInvolved;Group of people involved;Group of people involved in the event having common characteristics and/or status.;;No
Common;Classes;GroupOfVehiclesInvolved;Group of vehicles involved;Group of the vehicles involved having common characteristics and/or status.;;No
Common;Classes;HazardousMaterials;Hazardous materials;Details of hazardous materials.;;No
Common;Classes;HeaderInformation;Header information;Management information relating to the data contained within a publication.;;No
EnergyInfrastructure;Classes;HydrogenRefillPoint;Hydrogen refill point;A refill point for hydrogen;;No
Common;Classes;InternationalIdentifier;International identifier;An identifier/name whose range is specific to the particular country.;;No
Vms;Classes;ManagedLogicalLocation;Managed logical location;The logical location (e.g. a car park, a section of road, a junction etc.) which a VMS contributes to the management of.;;No
RoadTrafficData;Classes;MeasurementSite;Measurement site;An identifiable single measurement site entry/record in the measurement site table.;;No
RoadTrafficData;Classes;MeasurementSiteTable;Measurement site table;A Measurement Site Table comprising a number of sets of data, each describing the location from where a stream of measured data may be derived.  Each location is known as a "measurement site" which can be a point, a linear road section or an area.;;No
RoadTrafficData;Classes;MeasurementSpecificCharacteristics;Measurement specific characteristics;Characteristics which are specific to an individual measurement type (specified in a known order) at the given measurement site.;;No
Situation;Classes;Mobility;Mobility;An indication of whether the associated instance of a SituationRecord is mobile (e.g. a march or parade moving along a road) or stationary.;;No
Common;Classes;NamedArea;Named area;An abstract hook class to hook in a model for a named area.;;Yes
EnergyInfrastructure;Classes;OrganicGasRefillPoint;Organic gas refill point;A refill point for organic gases;;No
Common;Classes;PayloadPublication;Payload publication;A payload publication of traffic related information or associated management information created at a specific point in time that can be exchanged via a DATEX II interface.;;Yes
EnergyInfrastructure;Classes;PetrolRefillPoint;Petrol refill point;A refill point for petrol;;No
RoadTrafficData;Classes;ReferenceSettings;Reference settings;Specification of default values for locations on the road network. Where a default status value is supplied, it shall apply for all specified locations, unless the publication includes an additional status value for a specified location.;;No
EnergyInfrastructure;Classes;RefillPoint;Refill point;Technical infrastructure at a specific location that facilitates an energy refilling process being connected to max. one vehicle at a time;;Yes
EnergyInfrastructure;Classes;RefillPointStatus;Refill point status;Dynamic information on the status of the refill point.;;No
EnergyInfrastructure;Classes;ServiceType;Service type;A specification of service types for the fuelling/charging and payment process;;No
RoadTrafficData;Classes;SiteMeasurements;Site measurements;A  measurement data set derived from a specific measurement site.;;No
Situation;Classes;Situation;Situation;An identifiable instance of a traffic/travel situation comprising one or more traffic/travel circumstances which are linked by one or more causal relationships. Each traffic/travel circumstance is represented by a Situation Record.;;No
Situation;Classes;SituationRecord;Situation record;An identifiable versioned instance of a single record/element within a situation.;;Yes
Common;Classes;Source;Source;Details of the source from which the information was obtained.;;No
Common;Classes;UrlLink;URL link;Details of a Uniform Resource Locator (URL) address pointing to a resource available on the Internet from where further relevant information may be obtained.;;No
EnergyInfrastructure;Classes;VehicleSpace;Vehicle space;A space where a vehicle can be charged.;;No
