Namespace;Enumeration name;Definition
Situation;AbnormalTrafficTypeEnum;Descriptive terms for abnormal traffic conditions specifically relating to the nature of the traffic movement, implying levels of service.
Parking;AccessEquipmentEnum;Specifies additional equipment for this access.
Parking;AccessLaneTypeEnum;A list of the supported access lane characteristic types.
Parking;AccessTypeEnum;A list of the supported access area types.
Situation;AccidentCauseEnum;Collection of the type of accident causes.
Situation;AccidentTypeEnum;Collection of descriptive terms for types of accidents.
Parking;ActivityEnum;Collection of activities, for example in the context of rest areas.
LocationExtension;AddressLineTypeEnum;A list of supported address line types.
LocationReferencing;AlertCDirectionEnum;Direction used to reach the primary location from the secondary location in ALERT-C location table, as defined in CEN ISO 14819-1
LocationReferencing;AltitudeAccuracyEnum;Coded level of vertical accuracy
Situation;AnimalPresenceTypeEnum;Types of animal presence.
LocationReferencing;AreaPlacesEnum;Type of area place(s)
EnergyInfrastructure;AuthenticationAndIdentificationEnum;A table of authentication and/or identification methods
Situation;AuthorityOperationTypeEnum;Types of authority operations.
EnergyInfrastructure;BioethanolTypeEnum;A table of different types of petrol with a share of bioethanol.
Parking;CalculationTypeEnum;A list of the supported calculation types for demand.
Common;CalendarWeekWithinMonthEnum;Calendar week within month (see ISO8601).
Parking;CampusStatusEnum;The status for multiple parking objects (available spaces or not).
LocationReferencing;CarriagewayEnum;List of descriptors identifying specific carriageway details.
Situation;CauseTypeEnum;Types of causes of situations which are not managed or are off network.
EnergyInfrastructure;ChargingModeEnum;Charging mode according to IEC 61851-1 terminology
EnergyInfrastructure;ChargingPointUsageTypeEnum;Type of usage for an electric charging point..
Situation;CollisionTypeEnum;Identifies a type of collision
Vms;ColourEnum;Colours.
Situation;CommentTypeEnum;Classification of comment types.
Common;ComparisonOperatorEnum;Logical comparison operations.
Situation;ComplianceOptionEnum;Types of compliance.
Vms;CompositePictogramEnum;Identifies a pictogram used only for building a composite pictogram
Common;ComputationMethodEnum;Types of computational methods used in deriving data values for data sets.
Common;ConfidentialityValueEnum;Values of confidentiality.
EnergyInfrastructure;ConnectorFormatTypeEnum;A list of cable types used during the charging process.
EnergyInfrastructure;ConnectorTypeEnum;A table of commonly used connectors / charging interfaces
Situation;ConstructionWorkTypeEnum;Types of works relating to construction.
Parking;ContactTypeEnum;Defines the supported lists of types of contact.
Parking;CoveredEnum;Defines the supported lists of different types describing roof coverage of the facility or entity
Facilities;CredentialTypeEnum;A list of the supported credential types available for reference.
Common;DangerousGoodsRegulationsEnum;Types of dangerous goods regulations.
Common;DayEnum;Days of the week.
Vms;DedicatedUsageEnum;Type of usage for which a VMS is dedicated
Situation;DelayBandEnum;Classifications of a delay banded by length (i.e. the additional travel time).
Situation;DelaysTypeEnum;Course classifications of a delay.
EnergyInfrastructure;DeliveryUnitEnum;Table with diffrent units in which the delivery is measured.
EnergyInfrastructure;DieselTypeEnum;A table of different diesel types
Common;DirectionCompassEnum;Cardinal direction points of the compass.
LocationReferencing;DirectionEnum;List of directions of travel.
LocationReferencing;DirectionPurposeEnum;Main purpose of a direction of a road
Vms;DisplayedNumericalInformationTypeEnum;Type of numerical information displayed
Situation;DisturbanceActivityTypeEnum;Types of disturbance activities.
Situation;DrivingConditionTypeEnum;Types of the perceived driving conditions.
EnergyInfrastructure;ElectricEnergySourceTypeEnum;Electric energy sources
Parking;ElementDescriptorEnum;A list of the supported parking element descriptors (e.g. floor,row).
Common;EmissionClassificationEuroEnum;Classification of emission according to the Euro emission classification (based on serveral amendments on 1970 Directive 70/220/EEC). Note htat vehicleType as well as fuelType are mandatory to provide to make this classification explicit.
CommonExtension;EmissionClassificationEuroEnumExtended;extension of the EmissionClassificationEuroEnum
EnergyInfrastructure;EnergyInfrastructureSiteTypeEnum;The type of an energy infrastructure site.
Facilities;EnergySourceEnum;Type of fuel used by a vehicle.
Situation;EnvironmentalObstructionTypeEnum;Types of environmental obstructions.
Situation;EquipmentOrSystemFaultTypeEnum;Types of fault, malfunctioning or non operational conditions of equipment or systems.
Situation;EquipmentOrSystemTypeEnum;Types of equipment and systems used to support the operation of the road network.
Parking;EsporgStandardLevelEnum;Classification according to the technical specifications of the European secure parking organisation.
Common;FuelTypeEnum;Type of fuel used by a vehicle.
Vms;GddServiceCategoryEnum;Type of service offered by the pictogram, as defined in ISO 14823.
Situation;GeneralInstructionToRoadUsersTypeEnum;General instructions that may be issued to road users (specifically drivers and sometimes passengers) by an operator or operational system in support of network management activities or emergency situations.
Situation;GeneralNetworkManagementTypeEnum;Types of network management actions.
LocationReferencing;GeographicCharacteristicEnum;Descriptor to help to identify a specific location.
LocationReferencing;HeightGradeEnum;List of height or vertical gradings of road sections.
LocationReferencing;HeightTypeEnum;Coded value for type of height
Parking;HierarchyElementTypeEnum;Defines the supported lists of types of parking hierarchy elements permissible
EnergyInfrastructure;HydrogenFuellingProcessProtocolEnum;A table with different types of protocols that are used during the hydron fuelling process.
Vms;ImageFormatEnum;Identifies an image format
Common;InformationDeliveryServicesEnum;List of service channels or devices on which information or data exchanged can be delivered.
Common;InformationStatusEnum;Status of the related information (i.e. real, test or exercise).
Vms;InformationTypeEnum;Type of text characterisation.
Situation;InfrastructureDamageTypeEnum;Types of infrastructure damage which may have an effect on the road network.
LocationReferencing;InfrastructureDescriptorEnum;Descriptor identifying infrastructure to help to identify a specific location.
Situation;InjuryStatusTypeEnum;Types of injury status of people.
Common;InstanceOfDayEnum;Instances of a day of the week in a month
Situation;InvolvementRolesEnum;Involvement role of a person in event.
Parking;JunctionClassificationEnum;Explicit type of a junction.
LocationReferencing;LaneEnum;List of descriptors identifying specific lanes.
Parking;LayoutEnum;Types of layout of this (parking) place.
LocationReferencing;LinearDirectionEnum;Directions of traffic flow relative to the direction in which the linear element is defined.
LocationReferencing;LinearElementNatureEnum;List of indicative natures of linear elements.
Common;LoadTypeEnum;Types of load carried by a vehicle.
Common;LowEmissionLevelEnum;The emission level of a vehicle.
Situation;MaintenanceVehicleActionsEnum;Types of maintenance vehicle actions associated with roadworks.
Facilities;MeansOfPaymentEnum;Means of payment
RoadTrafficData;MeasuredOrDerivedDataTypeEnum;Types of measured or derived data.
Vms;MessageInformationTypeEnum;Types of information displayable on a VMS.
Situation;MobilityTypeEnum;Types of mobility relating to a situation element defined by a SituationReord.
Common;MonthOfYearEnum;A list of the months of the year.
LocationReferencing;NamedAreaTypeEnum;Types of areas.
Situation;NonWeatherRelatedRoadConditionTypeEnum;Types of road surface conditions which are not related to the weather.
LocationReferencing;NutsCodeTypeEnum;Types of NUTS codes (Nomenclature of territorial units for statistics) including LAU codes (Local Administrative Units).
