Namespace;Enumeration name;Enumeration literal;Designation;Definition;Origin;Original code
Situation;AbnormalTrafficTypeEnum;heavyTraffic;Heavy traffic;Traffic is heavy at the specified location (i.e. average speed is between 75% and 90% of its free-flow level).;;
Situation;AbnormalTrafficTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;AbnormalTrafficTypeEnum;queuingTraffic;Queuing traffic;Traffic is queuing at the specified location, although there is still some traffic movement (i.e. average speed is between 10% and 25% of its free-flow level).;;
Situation;AbnormalTrafficTypeEnum;slowTraffic;Slow traffic;Traffic is slow moving at the specified location, but not yet forming queues (i.e. average speed is between 25% and 75% of its free-flow level).;;
Situation;AbnormalTrafficTypeEnum;stationaryTraffic;Stationary traffic;Traffic is stationary, or very near stationary, at the specified location (i.e. average speed is less than 10% of its free-flow level).;;
Situation;AbnormalTrafficTypeEnum;unspecifiedAbnormalTraffic;Unspecified abnormal traffic;There are abnormal traffic conditions of an unspecified nature at the specified location.;;
Parking;AccessEquipmentEnum;barrier;Barrier;There is a barrier on this entrance or exit. Usually access is granted through tickets, buttons or electronic systems.;;
Parking;AccessEquipmentEnum;elevator;Elevator;There is an elevator associated with this access.;;
Parking;AccessEquipmentEnum;other;Other;Other.;;
Parking;AccessEquipmentEnum;payAndExitMachine;Pay and exit machine;A machine at this exit enables payment directly by inserting a payment or identity card.;;
Parking;AccessEquipmentEnum;staircase;Staircase;There is a staircase associated with this access.;;
Parking;AccessEquipmentEnum;ticketButtonMachine;Ticket button machine;A machine at this entrance provides a parking ticket by pressing a button.;;
Parking;AccessEquipmentEnum;ticketCardMachine;Ticket card machine;A machine at this entrance provides a parking ticket by inserting some payment or identity card.;;
Parking;AccessEquipmentEnum;trafficSignal;Traffic signal;There is a traffic signal installation controlling this access.;;
Parking;AccessLaneTypeEnum;entryOnly;Entry only;Lane used for entry to facility only.;;
Parking;AccessLaneTypeEnum;exitOnly;Exit only;Lane used for exit from facility only.;;
Parking;AccessLaneTypeEnum;reversibleLane;Reversible lane;Lane used for both entry and exit to/from facility, depending on operational conditions.;;
Parking;AccessLaneTypeEnum;serviceVehicleLane;Service vehicle lane;Lane used by parking operator service vehicle, not for public use.;;
Parking;AccessTypeEnum;entryAndExit;Entry and exit;A zone or area that is a place for access to or egress from a facility. ;;
Parking;AccessTypeEnum;entryOnly;Entry only;A zone or area that is a place for access into a facility.;;
Parking;AccessTypeEnum;exitOnly;Exit only;A zone or area that is a place for egress from a facility.;;
Parking;AccessTypeEnum;reversible;Reversible;A zone or area that is a place for access to or egress from a facility. Conditions may be changed by operation circumstances, such as time of day.;;
Situation;AccidentCauseEnum;avoidanceOfObstacles;Avoidance of obstacles;Avoidance of obstacles on the roadway.;;
