Namespace;Class name;Association end;Designation;Definition;Multiplicity;Target
Parking;Access;;;;0..1;EAID_9C1C60E7_8F24_40bc_A596_F021FC9D776E
Parking;Access;primaryRoad;Primary road;;0..*;EAID_D9424D34_C6ED_4177_A738_6CC193EEAB47
Parking;AccessAndEgress;entranceOpenTime;Entrance open time;Specification of entry open times.;0..1;EAID_2A6A3FD2_A3E4_469e_9A76_57C8F23EE37F
Parking;AccessAndEgress;exitOpenTime;Exit open time;Specification of exit open times.;0..1;EAID_2A6A3FD2_A3E4_469e_9A76_57C8F23EE37F
Parking;AccessAndEgress;openTime;Open time;Specification of access open times in general.;0..1;EAID_2A6A3FD2_A3E4_469e_9A76_57C8F23EE37F
Parking;AccessJunction;;;;1..1;EAID_9AB63F4C_BC43_4d85_9C8C_8D17F98B12E4
Parking;AccessLaneSpecific;entranceOpenTime;Entrance open time;Specification of entry open times.;0..1;EAID_2A6A3FD2_A3E4_469e_9A76_57C8F23EE37F
Parking;AccessLaneSpecific;exitOpenTime;Exit open time;Specification of exit open times.;0..1;EAID_2A6A3FD2_A3E4_469e_9A76_57C8F23EE37F
Parking;AccessLaneSpecific;maxDimension;Max dimension;;0..1;EAID_513E26A7_D33C_46f1_BEF1_5D07A07F7955
Parking;AccessRoad;;;;1..1;EAID_2DD3DF23_1753_4333_B61A_3AD8D4107E91
Parking;VehicularAccess;;;;0..*;EAID_E477DA8F_3A25_41c5_9C5D_80E42CBB9A21
Parking;VehicularAccess;correspondingJunction;Corresponding junction;;0..1;EAID_8A9C3D1C_984B_4060_AEAE_019504AF32C9
Situation;Accident;;;;0..*;EAID_2B372237_03AA_40b2_9F77_23C368B1BAD6
Situation;Accident;;;;0..*;EAID_78796365_15FB_4f04_A1D1_37B0891D63D9
Situation;Accident;vehicleInvolved;Vehicle involved;The vehicle involved in the accident.;0..*;EAID_EED11672_97F8_47f5_8EE7_D8F41C785480
Situation;Activity;mobilityOfActivity;Mobility of activity;Mobility of the activity.;0..1;EAID_DC471947_184F_49a4_BDEC_EB9734EFC519
LocationReferencing;AlertCMethod2PrimaryPointLocation;;;;1..1;EAID_5B227414_6989_4551_9FFE_26D05A9331B9
LocationReferencing;AlertCMethod2SecondaryPointLocation;;;;1..1;EAID_5B227414_6989_4551_9FFE_26D05A9331B9
LocationReferencing;AlertCMethod4PrimaryPointLocation;;;;1..1;EAID_17D9A0F3_0E2D_4681_9E78_EA4235DC5451
LocationReferencing;AlertCMethod4PrimaryPointLocation;;;;1..1;EAID_5B227414_6989_4551_9FFE_26D05A9331B9
LocationReferencing;AlertCMethod4SecondaryPointLocation;;;;1..1;EAID_17D9A0F3_0E2D_4681_9E78_EA4235DC5451
LocationReferencing;AlertCMethod4SecondaryPointLocation;;;;1..1;EAID_5B227414_6989_4551_9FFE_26D05A9331B9
LocationReferencing;AlertCArea;areaLocation;Area location;Area location defined by a specific Alert-C location.;1..1;EAID_5B227414_6989_4551_9FFE_26D05A9331B9
LocationReferencing;AlertCLinearByCode;;;;1..1;EAID_FBFB44B6_4562_436a_99A2_8D6215A51D68
LocationReferencing;AlertCLinearByCode;locationCodeForLinearLocation;Location code for linear location;Linear location defined by a specific Alert-C location.;1..1;EAID_5B227414_6989_4551_9FFE_26D05A9331B9
LocationReferencing;AlertCMethod2Linear;;;;1..1;EAID_FBFB44B6_4562_436a_99A2_8D6215A51D68
LocationReferencing;AlertCMethod2Linear;;;;1..1;EAID_48305A58_7EA3_41df_AD52_2656C2087928
LocationReferencing;AlertCMethod2Linear;;;;1..1;EAID_F86AB504_DC39_4afe_B745_84652E9AC4C1
LocationReferencing;AlertCMethod2Point;;;;1..1;EAID_FBFB44B6_4562_436a_99A2_8D6215A51D68
LocationReferencing;AlertCMethod2Point;;;;1..1;EAID_48305A58_7EA3_41df_AD52_2656C2087928
LocationReferencing;AlertCMethod4Linear;;;;1..1;EAID_FBFB44B6_4562_436a_99A2_8D6215A51D68
LocationReferencing;AlertCMethod4Linear;;;;1..1;EAID_9FA48308_F473_4b49_8428_3BC7F8DDC718
LocationReferencing;AlertCMethod4Linear;;;;1..1;EAID_CBAE58F4_DF40_412b_89C9_A74F0E3A77E6
LocationReferencing;AlertCMethod4Point;;;;1..1;EAID_FBFB44B6_4562_436a_99A2_8D6215A51D68
LocationReferencing;AlertCMethod4Point;;;;1..1;EAID_9FA48308_F473_4b49_8428_3BC7F8DDC718
Parking;Assignment;applicableFor;Applicable for;Assignments for parking. Other assignments are allowed as well, i.e. the parking spaces are convenient for this kind of assignment.;0..1;EAID_04AFBDC3_234D_4cf7_9AAE_FB3282C2C7E6
Parking;Assignment;assignmentValidity;Assignment validity;;0..1;EAID_32B776D4_35CA_47a0_8E49_354460E5DE34
Parking;Assignment;exclusivelyAssignedFor;Exclusively assigned for;Parking is only allowed for the assignment specified here, i.e. other assignments are not allowed. By using this role, it is not allowed to use 'applicableFor' and 'prohibitedFor' for the same type of attributes.;0..1;EAID_04AFBDC3_234D_4cf7_9AAE_FB3282C2C7E6
Parking;Assignment;prohibitedFor;Prohibited for;Parking is not allowed for the given assignment.;0..1;EAID_04AFBDC3_234D_4cf7_9AAE_FB3282C2C7E6
RoadTrafficData;BasicData;;;Characteristics of the measurement or calculation time which should be considered to override any specified defaults;0..1;EAID_753B59C8_88A5_491b_A3A3_90CFB9D71027
RoadTrafficData;MeasurementOrCalculationTime;;;The measurement or calculation period;0..1;EAID_DC2B72A4_31FE_4cf5_B594_5EA8FFC4D072
Situation;Cause;detailedCauseType;Detailed cause type;The type of cause, expressed in more detail than the NonManagedCause causeType. If both are present then they must be consistent.;0..1;EAID_E9304498_ABD0_46d8_A25F_BC62A7FEFF42
Situation;Cause;managedCause;Managed cause;A reference to another situation record which defines a cause of the event defined here.;0..1;EAID_BBBA60F5_773B_4be4_99C2_D1A4219205C0
EnergyInfrastructure;ElectricChargingPoint;;;Specify the connector(s).;0..*;EAID_E5D9EB2F_7F9D_4a3b_9A7C_9CB63A2DF208
EnergyInfrastructure;ElectricChargingPoint;;;;0..*;EAID_0363A258_0B06_4ccd_B2BE_0EF82E0552FD
EnergyInfrastructure;ElectricChargingPoint;;;;0..*;EAID_EE8D215A_90CD_4a9f_AA5A_5AF9015AD218
EnergyInfrastructure;ElectricChargingPointStatus;electricEnergyMixOverride;Electric energy mix override;Overrides the energy mixes that are available at this electric charging point.;0..*;EAID_0363A258_0B06_4ccd_B2BE_0EF82E0552FD
EnergyInfrastructure;ElectricEnergyMix;;;;0..*;EAID_BA1868A7_B813_445f_A70D_881A27D95504
EnergyInfrastructure;ElectricEnergyMix;;;;0..1;EAID_482231EA_2481_4bb0_9774_EE062933C6AD
EnergyInfrastructure;ElectricEnergyMix;energyProvider;Energy provider;The energy provider for this electric charging point.;0..1;EAID_99D16EA9_E308_4a11_8B32_960549E58724
EnergyInfrastructure;ElectricEnergySourceRatio;sourceRatioValue;Source ratio value;The percentage ratio value of this energy source.;1..1;EAID_649A1B6C_14F5_438e_A81B_7DEAD9D91B94
EnergyInfrastructure;EnergyInfrastructureSite;;;Specifications of charging stations on the site.;0..*;EAID_18B5A27A_2965_41d7_96FA_B795FA26CF3B
EnergyInfrastructure;EnergyInfrastructureSite;entrance;Entrance;Possibility to specify the location of the site's entrance.;0..*;EAID_8B6050E8_8BFC_4b0e_9354_4F0527307112
